PC1,PC2,PC3,cluster,album_name,artist
1.5161935131157227,-0.25107286354942526,-0.1446970291380969,1,1989,Taylor Swift
-5.0845198130562546,-0.3573909908294525,0.17655311837025234,4,"22, A Million",Bon Iver
-0.529803117659517,-1.077556492187901,-1.046526868680667,2,808s & Heartbreak,Kanye
-7.313337336211731,-0.3091285313217851,-2.80033917137701,4,Bon Iver,Bon Iver
-4.09149332569156,1.9088994137306154,1.234688765511962,4,Bookends,Simon & Garfunkel
-1.7136020477490557,1.8771483462968865,-0.19797428220235996,4,Bridge Over Troubled Water,Simon & Garfunkel
0.235713403056853,-1.6766728582972121,0.3677228146203108,3,Care Package,Drake
1.0118748056236806,-0.5524810947974732,0.10846156698419468,3,Charli,Charli XCX
0.07562182096225356,0.49674121935091176,-0.4980361040084512,2,Dangerous Woman,Ariana Grande
1.0662869524198295,-0.1203195502124382,0.9823349944613293,3,Dark Lane Demo Tapes,Drake
0.9698083855780872,0.6305882676686634,0.35588522566013514,1,Dedicated,Carly Rae Jepsen
1.9168610775955361,-0.04240687698846107,0.5651622091987231,1,Dedicated Side B,Carly Rae Jepsen
1.582903109624003,-0.28092727394576167,1.0843288850023989,3,Dua Lipa,Dua Lipa
1.8267218527525397,0.22578360587851826,0.5422612271334444,1,Emotion,Carly Rae Jepsen
2.6283844925468713,0.8037985518215818,0.1337514915234444,1,EMOTION SIDE B +,Carly Rae Jepsen
-1.2062244324727929,-1.0841676023466351,0.6671789722565589,3,evermore,Taylor Swift
1.1088948959542746,-0.5266108138282227,-0.9048564973937452,2,Fearless,Taylor Swift
0.7207928787169262,0.3141139774622317,-0.5762659882192636,2,Fly,The Chicks
-1.7141326954837124,-1.0693665733487365,0.516160934870179,3,folklore,Taylor Swift
-4.955928906090197,-1.1468989898029869,-0.732615990804968,4,"For Emma, Forever Ago",Bon Iver
2.37770946679312,0.7861256732125262,0.9042130930010783,1,Future Nostalgia,Dua Lipa
-1.4425223489242578,-1.5728694291701752,0.4682477666100445,3,Gaslighter,The Chicks
0.8935909525230006,0.8934783169412428,0.4010154822977559,1,Graduation,Kanye
-0.8525842574898022,-0.2054508090483181,-2.6307679237214066,2,Home,The Chicks
0.6323349988722962,2.5679011661826756,0.08278083031201089,1,Honeymoon,Beach Bunny
1.803811717714437,0.5997667873379259,-0.00162790488848652,1,how i'm feeling now,Charli XCX
-1.7554388029543448,-0.5766366195587608,-0.4743065434595622,2,Hozier,Hozier
-4.012874414462976,0.31273329804491024,1.0931032000174663,4,"i,i",Bon Iver
0.44337614078088433,-1.6296744062815218,0.4716937305280654,3,If You're Reading This It's Too Late,Drake
-0.5497672292254361,1.4660821647674889,1.9365275823274815,3,JESUS IS KING,Kanye
0.9299882577415024,-0.28731172697846846,0.2424761153216333,3,KIDS SEE GHOSTS,Kanye
