PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,variables
0.3088670032088922,-0.3477834593810997,0.2591177614301844,-0.12011088072447852,0.17207636793677353,-0.4892828660965809,0.22430300242249349,-0.280215037139421,0.443671623218209,0.2967699560947967,0.13900353330148113,danceability
0.45368451693177914,0.1924109906860562,-0.21379602931576194,0.05413862347474469,0.18884734258103214,0.08071816887715691,0.04197888223092052,0.04729644845383829,-0.31510691093210863,0.12276189915068075,0.7402485161619045,energy
0.45994088529045135,-0.04039984290429806,-0.13579143744493555,0.00855802370044848,0.22411464825547164,0.12733132132883943,-0.2552775656665129,-0.06854380791661409,-0.2798193420962113,0.48632396192704963,-0.5632000445956963,loudness
0.1293177143281971,-0.2307795454434479,0.35628342112678696,0.680418681575972,-0.22890343146951453,-0.2592864287799896,0.11335189317079071,0.31321808486590935,-0.32780425146491754,-0.015253379722214883,-0.042912998340373626,speechiness
-0.4536237023507176,-0.03820321044810101,0.16738478521711878,-0.06503828390398839,-0.14518516526522635,0.18293402919486967,-0.027034025206252324,0.24298090473994563,0.009598656338901362,0.7731124074933662,0.22002119902494316,acousticness
-0.343347086314621,0.015606743622677239,-0.3115746281208634,0.059269840937854736,0.3552267582870077,-0.1884888181454009,0.6760539594254161,-0.13185350917833977,-0.3382991408573524,0.09434794089418187,-0.1475849381784538,instrumentalness
0.08209108868300863,0.4987819241287446,-0.16240534200232346,0.5169243047723278,-0.2810812526236222,0.12876898512583362,0.17692678162349898,-0.3589655604224087,0.38906845142551694,0.19992549703945134,-0.06163981954121292,liveness
0.21594128702134957,0.5182643675566839,0.12115351289315447,-0.2291920026777404,0.08156758760901084,-0.18771190526938664,0.2655198181674915,0.6530833922372322,0.2072111012399433,0.02143133836753802,-0.18777857592800576,valence
0.09887638265627366,-0.10454573214890651,-0.5067502969919525,-0.2589393977780433,-0.6844583032077264,-0.39595189917216866,0.017160505781172782,0.05107639137425242,-0.13174782133944732,0.097689113444103165,-0.01957468527097553,tempo
0.08018299706521362,-0.4771712323645746,-0.48845424248842245,0.2310915000170006,0.1315095898396163,0.303161762993799,0.1184931395854677,0.4139353862484776,0.4223644241841641,-0.030118272731245392,0.0019239419801467886,duration_ms
0.2779671219084063,-0.1715421720275291,0.2832641141984017,-0.26770145180234717,-0.33674854610790755,0.5487705085949226,0.544051365016582,-0.10338373253557545,-0.11623379637586273,-0.051277083569313715,-0.06353395632504188,time_signature
